Candidate,Top State,Second State,Third State
Amy Klobuchar,North Dakota,Montana,Massachusetts
Joe Biden,Vermont,Massachusetts,Connecticut
Elizabeth Warren,New Hampshire,Rhode Island,Vermont
Cory Booker,Delaware,New York,Maryland
Bernie Sanders,New Hampshire,Maine,Oregon
Beto Orourke,Massachusetts,Vermont,New Mexico
Sherrod Brown,Kentucky,Rhode Island,Massachusetts
Kamala Harris,Maryland,Vermont,Rhode Island
Julian Castro,New Hampshire,Rhode Island,Virginia
Kirsten Gillibrand,Vermont,Massachusetts,New Hampshire
